Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049658;1;0;0;h81B0;hF8;1;1;1;0
-0,00049657;1;0;0;h81B0;hF8;1;1;1;0
-0,0004965599999999999;1;0;0;h81B0;hF8;1;1;1;0
-0,00049655;1;0;0;h81B0;hF8;1;1;1;0
-0,00049654;0;0;0;h81B0;hF8;1;1;1;0
-0,00049653;0;0;0;h81B0;hF8;1;1;1;0
-0,00049652;0;0;0;h81B0;hF8;1;1;1;0
-0,00049651;0;0;0;h81B0;hF8;1;1;1;0
-0,0004965;1;0;1;h81B0;hF8;1;1;1;0
-0,00049649;1;0;1;h81B0;hF8;1;1;0;0
-0,00049648;1;0;1;h81B0;hF8;1;1;0;0
-0,00049647;1;0;1;h81B0;hF8;1;1;0;0
-0,00049646;0;0;1;h81B0;hF8;1;1;0;0
-0,00049645;0;0;1;h81B0;hF8;1;1;0;0
-0,00049644;0;0;1;h81B0;hF8;1;1;0;0
-0,00049643;0;0;1;h81B0;hF8;1;1;0;0
-0,00049642;1;1;1;h81B0;hF8;1;1;0;0
-0,00049641;1;1;1;h81B0;hF8;1;1;0;0
-0,0004964;1;1;1;h81B0;hF8;1;1;0;0
-0,00049639;1;1;1;h81B0;hF8;1;1;0;0
-0,00049638;0;1;1;h81B0;hF8;1;1;0;0
-0,00049637;0;1;1;h81B0;hF8;1;1;0;0
-0,0004963600000000001;0;1;1;h81B0;hF8;1;1;0;0
-0,00049635;0;1;0;h81B0;hF8;1;1;0;0
-0,00049634;1;1;0;h81B0;hF8;1;1;0;0
-0,00049633;1;1;0;h81B0;hF8;1;1;0;0
-0,00049632;1;1;0;h81B0;hF8;1;1;0;0
-0,00049631;1;1;0;h81B0;hF8;1;1;0;1
-0,0004963;0;1;0;h81B0;hF8;1;1;0;1
-0,00049629;0;1;0;h81B0;hF8;1;1;1;1
-0,00049628;0;1;0;h81B0;hFF;1;1;1;1
-0,00049627;0;0;0;h81B0;hFF;1;1;1;1
-0,00049626;1;0;0;h81B0;hFF;1;1;1;1
-0,0004962499999999999;1;0;0;h81B0;hFF;1;1;1;1
