Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00049688;0;1;1;1;h81A9;h43;0;0;1;1
-0,00049687;0;1;0;1;h81A9;h43;0;0;1;1
-0,00049686;1;1;0;1;h81A9;h43;0;0;1;1
-0,00049685;1;1;0;1;h81A9;h43;0;0;1;1
-0,00049684;1;1;0;1;h81A9;h43;0;0;1;1
-0,00049683;1;1;0;1;h81A9;h43;0;0;1;1
-0,00049682;0;1;0;1;h81A9;h43;1;0;1;1
-0,00049681;0;1;0;1;h81A9;h43;1;1;1;1
-0,0004968;0;1;0;1;h81A9;h43;1;1;1;1
-0,00049679;0;1;0;1;h81A8;hFF;1;1;1;1
-0,0004967800000000001;1;0;0;1;h81AA;hFF;1;1;1;1
-0,00049677;1;0;0;1;h81AA;hFF;1;1;1;1
-0,00049676;1;0;0;1;h81AA;hFF;1;1;1;1
-0,00049675;1;0;0;1;h81AA;hFF;1;1;1;1
-0,00049674;0;0;0;1;h81AA;hFF;0;1;1;1
-0,00049673;0;0;0;1;h81AA;hFF;0;1;1;1
-0,00049672;0;0;0;1;h81AA;hFF;0;1;1;1
-0,00049671;0;0;0;1;h81AA;h07;0;1;1;1
-0,0004967;0;0;1;1;h81AA;h07;0;1;1;1
-0,00049669;1;0;1;1;h81AA;h07;0;1;1;1
-0,00049668;1;0;1;1;h81AA;h07;0;1;1;1
-0,0004966700000000001;1;0;1;1;h81AA;h07;0;1;1;1
-0,00049666;1;0;1;1;h81AA;h07;0;1;1;1
-0,00049665;0;0;1;1;h81AA;h07;0;1;1;1
-0,00049664;0;0;1;1;h81AA;h07;0;1;1;1
-0,00049663;0;0;1;1;h81AA;h07;0;1;1;1
-0,00049662;0;0;1;1;h81AA;h07;0;1;1;1
-0,00049661;1;1;1;1;h81AA;h07;0;1;1;1
-0,0004966;1;1;1;1;h81AA;h07;0;0;1;1
-0,00049659;1;1;1;1;h81AA;h07;0;0;1;1
-0,00049658;1;1;1;1;h81AA;h07;0;0;1;1
-0,00049657;0;1;1;1;h81AA;h07;0;0;1;1
-0,0004965599999999999;0;1;1;1;h81AA;h07;0;0;1;1
-0,00049655;0;1;1;1;h81AA;h07;0;0;1;1
-0,00049654;0;1;1;1;h81AA;h07;0;0;1;1
-0,00049653;1;1;0;1;h81AA;h07;0;0;1;1
-0,00049652;1;1;0;1;h81AA;h07;0;0;1;1
-0,00049651;1;1;0;1;h81AA;h07;0;0;1;1
-0,0004965;1;1;0;1;h81AA;h07;0;0;1;1
-0,00049649;0;1;0;1;h81AA;h07;0;0;1;1
-0,00049648;0;1;0;1;h81AA;h07;0;0;1;1
-0,00049647;0;1;0;1;h81AA;h07;0;0;1;1
-0,00049646;0;1;0;1;h81AA;h07;0;0;1;1
-0,00049645;0;0;0;1;h81AA;h07;0;0;1;1
-0,00049644;1;0;0;1;h81AA;h07;0;0;1;1
